DATE,TIME,実績(万kW)
2018/1/22,3:00,2777
2018/1/22,4:00,2820
2018/1/22,5:00,3056
2018/1/22,6:00,3574
2018/1/22,7:00,4041
2018/1/22,8:00,4522
2018/1/22,9:00,4821
2018/1/22,10:00,4877
2018/1/22,11:00,4903
2018/1/22,12:00,4793
2018/1/22,13:00,4989
2018/1/22,14:00,5034
2018/1/22,15:00,5010
2018/1/22,16:00,5076
2018/1/22,17:00,5101
2018/1/22,18:00,5009
2018/1/22,19:00,4857
2018/1/22,20:00,4722
2018/1/22,21:00,4511
2018/1/22,22:00,4233
2018/1/22,23:00,3927
2018/1/23,0:00,3597
2018/1/23,1:00,3407
2018/1/23,2:00,3303
2018/1/23,3:00,3252
2018/1/23,4:00,3297
2018/1/23,5:00,3540
2018/1/23,6:00,3994
2018/1/23,7:00,4307
2018/1/23,8:00,4556
2018/1/23,9:00,4641
2018/1/23,10:00,4508
2018/1/23,11:00,4369
2018/1/23,12:00,4097
2018/1/23,13:00,4129
2018/1/23,14:00,4113
2018/1/23,15:00,4157
2018/1/23,16:00,4364
2018/1/23,17:00,4632
2018/1/23,18:00,4611
2018/1/23,19:00,4508
2018/1/23,20:00,4414
2018/1/23,21:00,4261
2018/1/23,22:00,4034
2018/1/23,23:00,3779
2018/1/24,0:00,3489
2018/1/24,1:00,3330
2018/1/24,2:00,3249
2018/1/24,3:00,3195
2018/1/24,4:00,3234
2018/1/24,5:00,3479
2018/1/24,6:00,4007
2018/1/24,7:00,4364
2018/1/24,8:00,4496
2018/1/24,9:00,4444
2018/1/24,10:00,4237
2018/1/24,11:00,4151
2018/1/24,12:00,3942
2018/1/24,13:00,4082
2018/1/24,14:00,4168
2018/1/24,15:00,4311
2018/1/24,16:00,4603
2018/1/24,17:00,4885
2018/1/24,18:00,4927
2018/1/24,19:00,4861
2018/1/24,20:00,4775
2018/1/24,21:00,4616
2018/1/24,22:00,4374
2018/1/24,23:00,4104
2018/1/25,0:00,3779
2018/1/25,1:00,3583
2018/1/25,2:00,3474
2018/1/25,3:00,3420
2018/1/25,4:00,3461
2018/1/25,5:00,3720
2018/1/25,6:00,4270
2018/1/25,7:00,4631
2018/1/25,8:00,4778
2018/1/25,9:00,4795
2018/1/25,10:00,4628
2018/1/25,11:00,4478
2018/1/25,12:00,4227
2018/1/25,13:00,4295
2018/1/25,14:00,4319
2018/1/25,15:00,4420
2018/1/25,16:00,4725
2018/1/25,17:00,5060
2018/1/25,18:00,5110
2018/1/25,19:00,5015
2018/1/25,20:00,4898
2018/1/25,21:00,4721
2018/1/25,22:00,4462
2018/1/25,23:00,4184
2018/1/26,0:00,3847
2018/1/26,1:00,3623
2018/1/26,2:00,3504
2018/1/26,3:00,3449
2018/1/26,4:00,3477
2018/1/26,5:00,3737
2018/1/26,6:00,4279
2018/1/26,7:00,4633
2018/1/26,8:00,4787
2018/1/26,9:00,4773
2018/1/26,10:00,4583
2018/1/26,11:00,4450
2018/1/26,12:00,4217
2018/1/26,13:00,4331
2018/1/26,14:00,4389
2018/1/26,15:00,4501
2018/1/26,16:00,4807
2018/1/26,17:00,5097
2018/1/26,18:00,5124
2018/1/26,19:00,5013
2018/1/26,20:00,4892
2018/1/26,21:00,4701
2018/1/26,22:00,4476
2018/1/26,23:00,4216
2018/1/27,0:00,3887
2018/1/27,1:00,3660
2018/1/27,2:00,3500
2018/1/27,3:00,3400
2018/1/27,4:00,3377
2018/1/27,5:00,3486
2018/1/27,6:00,3807
2018/1/27,7:00,4125
2018/1/27,8:00,4393
2018/1/27,9:00,4434
2018/1/27,10:00,4268
2018/1/27,11:00,4096
2018/1/27,12:00,3904
2018/1/27,13:00,3847
2018/1/27,14:00,3789
2018/1/27,15:00,3809
2018/1/27,16:00,4028
2018/1/27,17:00,4415
2018/1/27,18:00,4535
2018/1/27,19:00,4496
2018/1/27,20:00,4432
2018/1/27,21:00,4269
2018/1/27,22:00,4036
2018/1/27,23:00,3825
2018/1/28,0:00,3544
2018/1/28,1:00,3359
2018/1/28,2:00,3236
2018/1/28,3:00,3155
2018/1/28,4:00,3118
2018/1/28,5:00,3191
2018/1/28,6:00,3422
2018/1/28,7:00,3680
2018/1/28,8:00,3979
2018/1/28,9:00,4142
2018/1/28,10:00,4189
2018/1/28,11:00,4103
2018/1/28,12:00,4000
2018/1/28,13:00,3872
2018/1/28,14:00,3807
2018/1/28,15:00,3760
2018/1/28,16:00,3901
2018/1/28,17:00,4312
2018/1/28,18:00,4462
2018/1/28,19:00,4450
2018/1/28,20:00,4399
2018/1/28,21:00,4242
2018/1/28,22:00,3965
2018/1/28,23:00,3713
2018/1/29,0:00,3416
2018/1/29,1:00,3241
2018/1/29,2:00,3154
2018/1/29,3:00,3115
2018/1/29,4:00,3168
2018/1/29,5:00,3447
2018/1/29,6:00,4022
2018/1/29,7:00,4410
2018/1/29,8:00,4678
2018/1/29,9:00,4767
2018/1/29,10:00,4569
2018/1/29,11:00,4417
2018/1/29,12:00,4147
2018/1/29,13:00,4223
2018/1/29,14:00,4164
2018/1/29,15:00,4162
2018/1/29,16:00,4348
2018/1/29,17:00,4654
2018/1/29,18:00,4697
2018/1/29,19:00,4582
2018/1/29,20:00,4445
2018/1/29,21:00,4277
2018/1/29,22:00,4052
2018/1/29,23:00,3786
2018/1/30,0:00,3493
2018/1/30,1:00,3323
2018/1/30,2:00,3241
2018/1/30,3:00,3199
2018/1/30,4:00,3243
2018/1/30,5:00,3476
2018/1/30,6:00,3995
2018/1/30,7:00,4366
2018/1/30,8:00,4672
2018/1/30,9:00,4794
2018/1/30,10:00,4672
2018/1/30,11:00,4520
2018/1/30,12:00,4241
2018/1/30,13:00,4311
2018/1/30,14:00,4269
2018/1/30,15:00,4275
2018/1/30,16:00,4492
2018/1/30,17:00,4769
2018/1/30,18:00,4794
2018/1/30,19:00,4697
2018/1/30,20:00,4578
2018/1/30,21:00,4405
2018/1/30,22:00,4178
2018/1/30,23:00,3907
2018/1/31,0:00,3589
2018/1/31,1:00,3400
2018/1/31,2:00,3311
2018/1/31,3:00,3269
2018/1/31,4:00,3307
2018/1/31,5:00,3542
2018/1/31,6:00,4077
2018/1/31,7:00,4446
2018/1/31,8:00,4660
2018/1/31,9:00,4683
2018/1/31,10:00,4486
2018/1/31,11:00,4329
2018/1/31,12:00,4057
2018/1/31,13:00,4123
2018/1/31,14:00,4099
2018/1/31,15:00,4105
2018/1/31,16:00,4282
2018/1/31,17:00,4563
2018/1/31,18:00,4610
2018/1/31,19:00,4534
2018/1/31,20:00,4436
2018/1/31,21:00,4285
2018/1/31,22:00,4075
2018/1/31,23:00,3818
2018/2/1,0:00,3494
2018/2/1,1:00,3296
2018/2/1,2:00,3187
2018/2/1,3:00,3129
2018/2/1,4:00,3142
2018/2/1,5:00,3365
2018/2/1,6:00,3887
2018/2/1,7:00,4245
2018/2/1,8:00,4554
2018/2/1,9:00,4733
2018/2/1,10:00,4654
2018/2/1,11:00,4610
2018/2/1,12:00,4474
2018/2/1,13:00,4656
2018/2/1,14:00,4677
2018/2/1,15:00,4693
2018/2/1,16:00,4858
2018/2/1,17:00,4978
2018/2/1,18:00,4936
2018/2/1,19:00,4818
2018/2/1,20:00,4702
2018/2/1,21:00,4537
2018/2/1,22:00,4305
2018/2/1,23:00,4019
2018/2/2,0:00,3692
2018/2/2,1:00,3501
2018/2/2,2:00,3393
2018/2/2,3:00,3346
2018/2/2,4:00,3383
2018/2/2,5:00,3631
2018/2/2,6:00,4111
2018/2/2,7:00,4540
2018/2/2,8:00,5011
2018/2/2,9:00,5263
2018/2/2,10:00,5266
2018/2/2,11:00,5192
2018/2/2,12:00,4946
2018/2/2,13:00,4961
2018/2/2,14:00,4860
2018/2/2,15:00,4789
2018/2/2,16:00,4871
2018/2/2,17:00,4972
2018/2/2,18:00,4898
2018/2/2,19:00,4741
2018/2/2,20:00,4578
2018/2/2,21:00,4376
2018/2/2,22:00,4143
2018/2/2,23:00,3879
2018/2/3,0:00,3604
2018/2/3,1:00,3400
2018/2/3,2:00,3268
2018/2/3,3:00,3192
2018/2/3,4:00,3167
2018/2/3,5:00,3248
2018/2/3,6:00,3507
2018/2/3,7:00,3806
2018/2/3,8:00,4180
2018/2/3,9:00,4279
2018/2/3,10:00,4164
2018/2/3,11:00,4076
2018/2/3,12:00,3930
2018/2/3,13:00,3861
2018/2/3,14:00,3766
2018/2/3,15:00,3703
2018/2/3,16:00,3809
2018/2/3,17:00,4145
2018/2/3,18:00,4249
2018/2/3,19:00,4205
2018/2/3,20:00,4130
2018/2/3,21:00,3950
2018/2/3,22:00,3717
2018/2/3,23:00,3516
2018/2/4,0:00,3264
2018/2/4,1:00,3096
2018/2/4,2:00,2981
2018/2/4,3:00,2908
2018/2/4,4:00,2888
2018/2/4,5:00,2939
2018/2/4,6:00,3123
2018/2/4,7:00,3370
2018/2/4,8:00,3638
2018/2/4,9:00,3749
2018/2/4,10:00,3648
2018/2/4,11:00,3485
2018/2/4,12:00,3400
2018/2/4,13:00,3332
2018/2/4,14:00,3279
2018/2/4,15:00,3324
2018/2/4,16:00,3542
2018/2/4,17:00,3965
2018/2/4,18:00,4118
2018/2/4,19:00,4122
2018/2/4,20:00,4076
2018/2/4,21:00,3937
2018/2/4,22:00,3691
2018/2/4,23:00,3463
2018/2/5,0:00,3209
2018/2/5,1:00,3077
2018/2/5,2:00,3012
2018/2/5,3:00,2986
2018/2/5,4:00,3044
2018/2/5,5:00,3321
2018/2/5,6:00,3883
2018/2/5,7:00,4255
2018/2/5,8:00,4531
2018/2/5,9:00,4633
2018/2/5,10:00,4498
2018/2/5,11:00,4378
2018/2/5,12:00,4164
2018/2/5,13:00,4241
2018/2/5,14:00,4198
2018/2/5,15:00,4203
2018/2/5,16:00,4341
2018/2/5,17:00,4624
2018/2/5,18:00,4690
2018/2/5,19:00,4590
2018/2/5,20:00,4480
2018/2/5,21:00,4317
2018/2/5,22:00,4095
2018/2/5,23:00,3834
2018/2/6,0:00,3550
2018/2/6,1:00,3379
2018/2/6,2:00,3289
2018/2/6,3:00,3242
2018/2/6,4:00,3297
2018/2/6,5:00,3540
2018/2/6,6:00,4060
2018/2/6,7:00,4365
2018/2/6,8:00,4555
2018/2/6,9:00,4610
2018/2/6,10:00,4465
2018/2/6,11:00,4345
2018/2/6,12:00,4102
2018/2/6,13:00,4174
2018/2/6,14:00,4124
2018/2/6,15:00,4129
2018/2/6,16:00,4314
2018/2/6,17:00,4632
2018/2/6,18:00,4722
2018/2/6,19:00,4637
2018/2/6,20:00,4529
2018/2/6,21:00,4362
2018/2/6,22:00,4141
2018/2/6,23:00,3882
2018/2/7,0:00,3581
2018/2/7,1:00,3400
2018/2/7,2:00,3307
2018/2/7,3:00,3268
2018/2/7,4:00,3307
2018/2/7,5:00,3547
2018/2/7,6:00,4075
2018/2/7,7:00,4397
2018/2/7,8:00,4574
2018/2/7,9:00,4614
